source_pdf,safe_stem,status,method,title,doi,abstract_chars,body_chars,tei_saved,error
参考文献/Li 等 - 2011 - Modeling methods for GenCo bidding strategy optimization in the liberalized electricity spot market–.pdf,Li_等_-_2011_-_Modeling_methods_for_GenCo_bidding_strategy_optimization_in_the_liberalized_electricity_spot_market–,partial,pymupdf,,,0,82753,False,grobid service unavailable: http://localhost:8070
参考文献/Liu和Wu - 2007 - Portfolio optimization in electricity markets.pdf,Liu和Wu_-_2007_-_Portfolio_optimization_in_electricity_markets,success,pymupdf,,,589,39562,False,grobid service unavailable: http://localhost:8070
参考文献/Poli 等 - 2007 - Particle swarm optimization An overview.pdf,Poli_等_-_2007_-_Particle_swarm_optimization_An_overview,partial,pymupdf,,,0,73663,False,grobid service unavailable: http://localhost:8070
参考文献/Rockafellar和Uryasev - 2000 - Optimization of conditional value-at-risk.pdf,Rockafellar和Uryasev_-_2000_-_Optimization_of_conditional_value-at-risk,partial,pymupdf,,,0,38508,False,grobid service unavailable: http://localhost:8070
参考文献/Shi和Eberhart - 1998 - A modified particle swarm optimizer.pdf,Shi和Eberhart_-_1998_-_A_modified_particle_swarm_optimizer,success,pymupdf,,,244,12233,False,grobid service unavailable: http://localhost:8070
参考文献/Sun 等 - 2021 - Electricity Retailer Trading Portfolio Optimization Considering Risk Assessment in Chinese Electrici.pdf,Sun_等_-_2021_-_Electricity_Retailer_Trading_Portfolio_Optimization_Considering_Risk_Assessment_in_Chinese_Electrici,partial,pymupdf,,,0,56097,False,grobid service unavailable: http://localhost:8070
参考文献/Weron - 2014 - Electricity price forecasting A review of the state-of-the-art with a look into the future.pdf,Weron_-_2014_-_Electricity_price_forecasting_A_review_of_the_state-of-the-art_with_a_look_into_the_future,partial,pymupdf,,,0,254915,False,grobid service unavailable: http://localhost:8070
参考文献/Xu 等 - 2006 - Power Portfolio Optimization in Deregulated Electricity Markets With Risk Management.pdf,Xu_等_-_2006_-_Power_Portfolio_Optimization_in_Deregulated_Electricity_Markets_With_Risk_Management,partial,pymupdf,,,0,37381,False,grobid service unavailable: http://localhost:8070
参考文献/Yang 等 - 2020 - Reinforcement learning in sustainable energy and electric systems a survey.pdf,Yang_等_-_2020_-_Reinforcement_learning_in_sustainable_energy_and_electric_systems_a_survey,partial,pymupdf,,,0,95733,False,grobid service unavailable: http://localhost:8070
参考文献/两级电力市场环境下考虑多类型零售套餐的售电公司购售电策略.pdf,两级电力市场环境下考虑多类型零售套餐的售电公司购售电策略,success,pymupdf,,,1669,21117,False,grobid service unavailable: http://localhost:8070
参考文献/中国促进清洁能源消纳的市场机制设计思路_史连军.pdf,中国促进清洁能源消纳的市场机制设计思路_史连军,success,pymupdf,,,212,10593,False,grobid service unavailable: http://localhost:8070
参考文献/中国电力市场建设路径优选及设计_葛睿.pdf,中国电力市场建设路径优选及设计_葛睿,success,pymupdf,,,323,8978,False,grobid service unavailable: http://localhost:8070
参考文献/中国电力市场未来研究方向及关键技术_张显.pdf,中国电力市场未来研究方向及关键技术_张显,success,pymupdf,,,246,15050,False,grobid service unavailable: http://localhost:8070
参考文献/中国绿电交易市场机制研究综述及发展展望.pdf,中国绿电交易市场机制研究综述及发展展望,success,pymupdf,,,337,18098,False,grobid service unavailable: http://localhost:8070
参考文献/南方( 以广东起步) 电力现货市场机制设计.pdf,南方(_以广东起步)_电力现货市场机制设计,success,pymupdf,,,229,9146,False,grobid service unavailable: http://localhost:8070
参考文献/售电公司购售电业务决策与风险评估_王林炎.pdf,售电公司购售电业务决策与风险评估_王林炎,success,pymupdf,,,367,13483,False,grobid service unavailable: http://localhost:8070
参考文献/国内外促进可再生能源消纳的电力现货市场发展综述与思考_樊宇琦.pdf,国内外促进可再生能源消纳的电力现货市场发展综述与思考_樊宇琦,success,pymupdf,,,695,33790,False,grobid service unavailable: http://localhost:8070
参考文献/国外典型电力市场交易结算机制及对中国的启示_周明.pdf,国外典型电力市场交易结算机制及对中国的启示_周明,success,pymupdf,,,239,14102,False,grobid service unavailable: http://localhost:8070
参考文献/国外电力现货市场建设的逻辑分析及对中国的启示与建议_邹鹏.pdf,国外电力现货市场建设的逻辑分析及对中国的启示与建议_邹鹏,success,pymupdf,,,298,17167,False,grobid service unavailable: http://localhost:8070
参考文献/基于能源转型的中国特色电力市场建设的分析与思考_陈国平.pdf,基于能源转型的中国特色电力市场建设的分析与思考_陈国平,success,pymupdf,,,829,15099,False,grobid service unavailable: http://localhost:8070
参考文献/基于负荷聚合商业务的需求响应资源整合方法与运营机制_高赐威.pdf,基于负荷聚合商业务的需求响应资源整合方法与运营机制_高赐威,success,pymupdf,,,257,11282,False,grobid service unavailable: http://localhost:8070
参考文献/山西电力现货市场中长期与现货衔接问题及对策_王小昂.pdf,山西电力现货市场中长期与现货衔接问题及对策_王小昂,success,pymupdf,,,950,10979,False,grobid service unavailable: http://localhost:8070
参考文献/新电改下我国电力现货市场建设关键要点综述及相关建议_宋永华.pdf,新电改下我国电力现货市场建设关键要点综述及相关建议_宋永华,success,pymupdf,,,1747,23146,False,grobid service unavailable: http://localhost:8070
参考文献/新电改背景下售电公司的购售电策略及风险评估_罗舒瀚.pdf,新电改背景下售电公司的购售电策略及风险评估_罗舒瀚,success,pymupdf,,,424,13992,False,grobid service unavailable: http://localhost:8070
参考文献/新电改背景下我国售电公司的购售电途径与经营模式探讨_胡晨.pdf,新电改背景下我国售电公司的购售电途径与经营模式探讨_胡晨,success,pymupdf,,,238,10632,False,grobid service unavailable: http://localhost:8070
参考文献/新能源为主体电力系统的需求侧资源利用关键技术及展望_王彩霞.pdf,新能源为主体电力系统的需求侧资源利用关键技术及展望_王彩霞,success,pymupdf,,,293,15291,False,grobid service unavailable: http://localhost:8070
参考文献/智慧能源—–人工智能技术在电力系统中的应用与展望_孙秋野.pdf,智慧能源—–人工智能技术在电力系统中的应用与展望_孙秋野,success,pymupdf,,,350,32518,False,grobid service unavailable: http://localhost:8070
参考文献/用电侧市场放开下的电力市场多主体博弈_曾嘉志.pdf,用电侧市场放开下的电力市场多主体博弈_曾嘉志,success,pymupdf,,,317,10921,False,grobid service unavailable: http://localhost:8070
参考文献/电力差价合约机制设计与应用_骆子雅.pdf,电力差价合约机制设计与应用_骆子雅,success,pymupdf,,,1259,16851,False,grobid service unavailable: http://localhost:8070
参考文献/电力市场、碳市场及绿证市场互动机理及协调机制_尚楠.pdf,电力市场、碳市场及绿证市场互动机理及协调机制_尚楠,success,pymupdf,,,1188,20458,False,grobid service unavailable: http://localhost:8070
参考文献/电力市场中基于Attention-LSTM的短期负荷预测模型_彭文.pdf,电力市场中基于Attention-LSTM的短期负荷预测模型_彭文,success,pymupdf,,,1195,13908,False,grobid service unavailable: http://localhost:8070
参考文献/电力市场中需求响应市场与需求响应项目研究_赵鸿图.pdf,电力市场中需求响应市场与需求响应项目研究_赵鸿图,success,pymupdf,,,891,13276,False,grobid service unavailable: http://localhost:8070
参考文献/电力市场环境下的差价合约电量分解问题.pdf,电力市场环境下的差价合约电量分解问题,success,pymupdf,,,1766,21604,False,grobid service unavailable: http://localhost:8070
参考文献/电力零售核心业务架构与购售电决策_杨甲甲.pdf,电力零售核心业务架构与购售电决策_杨甲甲,success,pymupdf,,,410,18154,False,grobid service unavailable: http://localhost:8070
参考文献/考虑用户需求响应的售电公司购售电决策双层模型_任艺.pdf,考虑用户需求响应的售电公司购售电决策双层模型_任艺,success,pymupdf,,,270,9831,False,grobid service unavailable: http://localhost:8070
参考文献/计及风险规避的售电公司平衡市场优化交易策略研究_杨萌.pdf,计及风险规避的售电公司平衡市场优化交易策略研究_杨萌,success,pymupdf,,,527,16177,False,grobid service unavailable: http://localhost:8070
参考文献/集中式电力现货市场风险规避机制机理分析及建设路径.pdf,集中式电力现货市场风险规避机制机理分析及建设路径,success,pymupdf,,,1347,18990,False,grobid service unavailable: http://localhost:8070
参考文献/需求侧实时电价下供电商购售电风险决策_张钦.pdf,需求侧实时电价下供电商购售电风险决策_张钦,success,pymupdf,,,260,9774,False,grobid service unavailable: http://localhost:8070
参考文献/面向高比例可再生能源的电力市场研究综述_肖云鹏.pdf,面向高比例可再生能源的电力市场研究综述_肖云鹏,success,pymupdf,,,861,15124,False,grobid service unavailable: http://localhost:8070
